"INDICATORS","DECL","PRCCODE","PRCCODE_LABEL","PERIOD","Value","Flag and Footnotes"
"PRODQNT","France","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","454 701 496",""
"PRODQNT","France","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","450 600 078",""
"PRODQNT","France","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Netherlands","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","111 268 000",""
"PRODQNT","Netherlands","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","115 828 000",""
"PRODQNT","Netherlands","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Germany","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","517 491 328",""
"PRODQNT","Germany","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","493 945 671",""
"PRODQNT","Germany","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Italy","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","501 491 103",""
"PRODQNT","Italy","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","435 463 054",""
"PRODQNT","Italy","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","United Kingdom","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","288 292 487",""
"PRODQNT","United Kingdom","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","328 055 041",""
"PRODQNT","United Kingdom","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Ireland","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017",":","(1)"
"PRODQNT","Ireland","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018",":","(1)"
"PRODQNT","Ireland","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Denmark","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","14 655 063",""
"PRODQNT","Denmark","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","17 992 244",""
"PRODQNT","Denmark","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Greece","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","30 552 480",""
"PRODQNT","Greece","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","30 152 950",""
"PRODQNT","Greece","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Portugal","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","37 174 781",""
"PRODQNT","Portugal","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018",":","(1)"
"PRODQNT","Portugal","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2019",":",""
"PRODQNT","Spain","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2017","319 989 000",""
"PRODQNT","Spain","10521000","Ice cream and other edible ice (including sherbet, lollipops) (excluding mixes and bases for ice cream)","Jan.-Dez. 2018","307 065 000",""
